selamat malam	Good night
Sudah tentu ia percuma.	Of course it’s free.
Of course it’s free.	Sudah tentu ia percuma.
Kita sudah kehabisan keju.	We are all out of cheese.
We are all out of cheese.	Kita sudah kehabisan keju.
Sebaliknya, bolehkah saya memesan secawan kopi?	May I have some coffee instead?
May I have some coffee instead?	Sebaliknya, bolehkah saya memesan secawan kopi?
Adakah ia percuma?	Is it free?
Is it free?	Adakah ia percuma?
Sebaliknya, bolehkah saya memesan mustard?	May I have some mustard instead?
May I have some mustard instead?	Sebaliknya, bolehkah saya memesan mustard?
Kita sudah kehabisan garam.	We are all out of salt.
We are all out of salt.	Kita sudah kehabisan garam.
Kamu mahu buah-buahan bersama dengan itu?	Would you like some fruit with that?
Would you like some fruit with that?	Kamu mahu buah-buahan bersama dengan itu?
Kamu mahu sayur-sayuran bersama dengan itu?	Would you like some vegetables with that?
Would you like some vegetables with that?	Kamu mahu sayur-sayuran bersama dengan itu?
Berapa kerapkah kamu memakan buah-buahan?	How often do you eat fruit?
How often do you eat fruit?	Berapa kerapkah kamu memakan buah-buahan?
Saya makan sayur-sayuran setiap tiga hari.	I eat vegetables every three days.
I eat vegetables every three days.	Saya makan sayur-sayuran setiap tiga hari.
Ada bau manis dan masam.	It has a sweet and sour smell.
It has a sweet and sour smell.	Ada bau manis dan masam.
Saya suka rasa sos tomato dan madu.	I like the taste of ketchup and honey.
I like the taste of ketchup and honey.	Saya suka rasa sos tomato dan madu.
Itu bergantung kepada rasanya.	It depends on the taste.
It depends on the taste.	Itu bergantung kepada rasanya.
Ada perisa manis dan masam.	It has a sweet and sour taste.
It has a sweet and sour taste.	Ada perisa manis dan masam.
Berapa kerapkah kamu memakan sayur-sayuran?	How often do you eat vegetables?
How often do you eat vegetables?	Berapa kerapkah kamu memakan sayur-sayuran?
Itu bergantung kepada harganya.	It depends on the price.
It depends on the price.	Itu bergantung kepada harganya.
Sila buat satu burger dengan sos tomato di atas untuk dia.	Please make him a hamburger with only ketchup on it.
Please make him a hamburger with only ketchup on it.	Sila buat satu burger dengan sos tomato di atas untuk dia.
Sila buat satu burger dengan topping gula untuk dia.	Please make him a hamburger with only sugar on it.
Please make him a hamburger with only sugar on it.	Sila buat satu burger dengan topping gula untuk dia.
Sila beri saya satu burger tanpa topping.	Please give me a hamburger with nothing on it.
Please give me a hamburger with nothing on it.	Sila beri saya satu burger tanpa topping.
Sila beri saya satu burger dengan keju di atasnya.	Please give me a hamburger with cheese on it.
Please give me a hamburger with cheese on it.	Sila beri saya satu burger dengan keju di atasnya.
Sila beri saya satu burger dengan lada di atasnya.	Please give me a hamburger with pepper on it.
Please give me a hamburger with pepper on it.	Sila beri saya satu burger dengan lada di atasnya.
Sila beri saya satu burger dengan semua toppingnya.	Please give me a hamburger with everything on it.
Please give me a hamburger with everything on it.	Sila beri saya satu burger dengan semua toppingnya.
sekolah rendah	Elementary school
Elementary school	sekolah rendah
meja	Desk
Desk	meja
bergraduat	Graduate
Graduate	bergraduat
universiti	university
university	universiti
gagal	to fail
to fail	gagal
sekolah	School
School	sekolah
pemadam	Eraser
Eraser	pemadam
lulus	To pass
To pass	lulus
tuisyen	Tuition
Tuition	tuisyen
pejabat	Office
Office	pejabat
kelas	Class
Class	kelas
gaji	Salary
Salary	gaji
kerja rumah	homework
homework	kerja rumah
membuang	to throw
to throw	membuang
membawa	To bring
To bring	membawa
pelajar	Student
Student	pelajar
pekerjaan	Work
Work	pekerjaan
lakukan	to do
to do	lakukan
bilik darjah	classroom
classroom	bilik darjah
kolej	College
College	kolej
gred	Grade
Grade	gred
sekolah tinggi	high school
high school	sekolah tinggi
rakan sekelas	Classmate
Classmate	rakan sekelas
hantar	To turn in
To turn in	hantar
Apakah profesion anda?	What profession are you in?
What profession are you in?	Apakah profesion anda?
Saya berada dalam gred lima.	I’m in the fifth grade.
I’m in the fifth grade.	Saya berada dalam gred lima.
Itu meja saya dan kerja rumah Ken.	That is my desk and Ken’s homework.
That is my desk and Ken’s homework.	Itu meja saya dan kerja rumah Ken.
Apakah gred anda?	What grade are you in?
What grade are you in?	Apakah gred anda?
Saya berada dalam tahun lima.	I’m in the fifth year.
I’m in the fifth year.	Saya berada dalam tahun lima.
Itu pemadam saya dan kerja rumah Ken.	That is my eraser and Ken’s homework.
That is my eraser and Ken’s homework.	Itu pemadam saya dan kerja rumah Ken.
Kamu mungkin akan mendapat kerja yang lebih baik selepas tamat sekolah.	After you graduate, you may get a better job.
After you graduate, you may get a better job.	Kamu mungkin akan mendapat kerja yang lebih baik selepas tamat sekolah.
Tolong jangan membuang pemadam-pemadam di dalam bilik darjah.	Please don’t throw erasers in the classroom.
Please don’t throw erasers in the classroom.	Tolong jangan membuang pemadam-pemadam di dalam bilik darjah.
Tuisyen itu murah tetapi kualiti kolej itu bagus.	The tuition is cheap, but the quality of the college is good.
The tuition is cheap, but the quality of the college is good.	Tuisyen itu murah tetapi kualiti kolej itu bagus.
Saya benci membuat kerja rumah sejak sekolah rendah.	Ever since elementary school, I hated doing homework.
Ever since elementary school, I hated doing homework.	Saya benci membuat kerja rumah sejak sekolah rendah.
Tuisyen adalah mahal tetapi kamu mungkin akan mendapat gaji yang lebih baik selepas tamat sekolah.	Tuition is expensive, but after you graduate you may get a better salary.
Tuition is expensive, but after you graduate you may get a better salary.	Tuisyen adalah mahal tetapi kamu mungkin akan mendapat gaji yang lebih baik selepas tamat sekolah.
Tuisyen itu mahal.	The tuition is expensive.
The tuition is expensive.	Tuisyen itu mahal.
Saya suka membuat kerja rumah sejak sekolah menengah.	Ever since high school, I liked doing homework.
Ever since high school, I liked doing homework.	Saya suka membuat kerja rumah sejak sekolah menengah.
Tolong jangan membuang kerusi-kerusi di dalam bilik darjah.	Please don’t throw chairs in the classroom.
Please don’t throw chairs in the classroom.	Tolong jangan membuang kerusi-kerusi di dalam bilik darjah.
Kami belajar di sekolah menengah yang sama.	We went to the same high school together.
We went to the same high school together.	Kami belajar di sekolah menengah yang sama.
Kami belajar di kolej yang sama.	We went to the same college together.
We went to the same college together.	Kami belajar di kolej yang sama.
Bagaimanakah anda kenal Erica?	How do you know Erica?
How do you know Erica?	Bagaimanakah anda kenal Erica?
Gaji anda bergantung kepada pekerjaan anda.	Your salary depends on your job.
Your salary depends on your job.	Gaji anda bergantung kepada pekerjaan anda.
Sila bawa kerja rumah anda apabila kamu datang ke sekolah.	When you come to school, please bring your homework.
When you come to school, please bring your homework.	Sila bawa kerja rumah anda apabila kamu datang ke sekolah.
Sila bawa kerja rumah anda apabila kamu datang ke kerja.	When you come to work, please bring your homework.
When you come to work, please bring your homework.	Sila bawa kerja rumah anda apabila kamu datang ke kerja.
Kamu pelajar apa?	What kind of student are you?
What kind of student are you?	Kamu pelajar apa?
Saya pelajar yang jahat.	I’m a bad student.
I’m a bad student.	Saya pelajar yang jahat.
Bolehkah saya lulus dalam kelas anda jika saya menghantar semua kerja rumah saya yang lewat.	If I turn in all of my late homework, do you think I can still pass your class?
If I turn in all of my late homework, do you think I can still pass your class?	Bolehkah saya lulus dalam kelas anda jika saya menghantar semua kerja rumah saya yang lewat.
Saya pelajar universiti.	I’m a university student.
I’m a university student.	Saya pelajar universiti.
Lulus atau gagal dalam kelas saya bergantung kepada berapa banyak kerja yang kamu buat.	Passing or failing my class depends on how much work you do.
Passing or failing my class depends on how much work you do.	Lulus atau gagal dalam kelas saya bergantung kepada berapa banyak kerja yang kamu buat.
Saya pelajar kolej.	I’m a college student.
I’m a college student.	Saya pelajar kolej.
Saya pelajar yang baik.	I’m a good student.
I’m a good student.	Saya pelajar yang baik.
bahaya	Dangerous
Dangerous	bahaya
bersara	To retire
To retire	bersara
ahli politik	Politician
Politician	ahli politik
cikgu	Teacher
Teacher	cikgu
perniagaan	Business
Business	perniagaan
doktor gigi	Dentist
Dentist	doktor gigi
doktor	doctor
doctor	doktor
peguam	Lawyer
Lawyer	peguam
chef	Chef
Chef	chef
profesion	Profession
Profession	profesion
paderi	Pastor
Pastor	paderi
juru bank	Banker
Banker	juru bank
imam	imam
imam	imam
jurutera	Engineer
Engineer	jurutera
polis	Police
Police	polis
ahli bomba	Firefighter
Firefighter	ahli bomba
bos	Boss
Boss	bos
petani	Farmer
Farmer	petani
kebenaran	Truth
Truth	kebenaran
belajar	To study
To study	belajar
jururawat	Nurse
Nurse	jururawat
penting	Important
Important	penting
tentera	Military
Military	tentera
Apakah profesion anda?	What is your profession?
What is your profession?	Apakah profesion anda?
Saya bekerja sebagai seorang juru bank.	I work as a banker.
I work as a banker.	Saya bekerja sebagai seorang juru bank.
Saya bekerja sebagai seorang ahli bomba.	I work as a firefighter.
I work as a firefighter.	Saya bekerja sebagai seorang ahli bomba.
Apakah pekerjaan anda?	What is your work?
What is your work?	Apakah pekerjaan anda?
Saya seorang guru.	I’m a teacher.
I’m a teacher.	Saya seorang guru.
Saya seorang doktor.	I’m a doctor.
I’m a doctor.	Saya seorang doktor.
Ahli tentera biasanya mempunyai profesion yang lebih bahaya berbanding dengan peguam.	Military members usually have more dangerous professions than lawyers.
Military members usually have more dangerous professions than lawyers.	Ahli tentera biasanya mempunyai profesion yang lebih bahaya berbanding dengan peguam.
Kamu tidak patut menjadi paderi jika duit adalah penting kepada kamu.	If money is important to you, then you should not be a pastor.
If money is important to you, then you should not be a pastor.	Kamu tidak patut menjadi paderi jika duit adalah penting kepada kamu.
Kamu patut menjadi seorang peguam jika kebenaran adalah penting kepada kamu.	If truth is important to you, then you should be a lawyer.
If truth is important to you, then you should be a lawyer.	Kamu patut menjadi seorang peguam jika kebenaran adalah penting kepada kamu.
Petani-petani mendapat gaji yang bagus.	Farmers have good salaries.
Farmers have good salaries.	Petani-petani mendapat gaji yang bagus.
Gaji cikgu-cikgu adalah teruk tetapi pekerjaan mereka adalah penting.	Teachers have bad salaries, but their work is important.
Teachers have bad salaries, but their work is important.	Gaji cikgu-cikgu adalah teruk tetapi pekerjaan mereka adalah penting.
Polis biasanya mempunyai profesion yang lebih bahaya berbanding dengan peguam.	Police officers usually have more dangerous professions than lawyers.
Police officers usually have more dangerous professions than lawyers.	Polis biasanya mempunyai profesion yang lebih bahaya berbanding dengan peguam.
Bos saya seorang doktor yang terkenal.	My boss is a famous doctor.
My boss is a famous doctor.	Bos saya seorang doktor yang terkenal.
Seorang penipu ialah seseorang yang tidak bercakap benar.	A liar is a person who does not speak the truth.
A liar is a person who does not speak the truth.	Seorang penipu ialah seseorang yang tidak bercakap benar.
Apakah yang sedang anda belajar?	What are you studying?
What are you studying?	Apakah yang sedang anda belajar?
Saya sedang belajar untuk menjadi seorang jururawat.	I’m studying to be a nurse.
I’m studying to be a nurse.	Saya sedang belajar untuk menjadi seorang jururawat.
Saya sedang belajar untuk menjadi seorang petani.	I’m studying to be a farmer.
I’m studying to be a farmer.	Saya sedang belajar untuk menjadi seorang petani.
Bos saya seorang chef yang terkenal.	My boss is a famous chef.
My boss is a famous chef.	Bos saya seorang chef yang terkenal.
Saya mahu menjadi seorang jurutera selepas tamat sekolah.	I want to be an engineer after I graduate.
I want to be an engineer after I graduate.	Saya mahu menjadi seorang jurutera selepas tamat sekolah.
Saya perlukan seorang doktor secepat mungkin.	I need a doctor as soon as possible.
I need a doctor as soon as possible.	Saya perlukan seorang doktor secepat mungkin.
Saya mahu bersara selepas tamat sekolah.	I want to be retired after I graduate.
I want to be retired after I graduate.	Saya mahu bersara selepas tamat sekolah.
Saya perlukan seorang doktor gigi secepat mungkin.	I need a dentist as soon as possible.
I need a dentist as soon as possible.	Saya perlukan seorang doktor gigi secepat mungkin.
Apakah jenis profesion yang anda mahu selepas tamat sekolah?	What kind of profession do you want after you graduate?
What kind of profession do you want after you graduate?	Apakah jenis profesion yang anda mahu selepas tamat sekolah?
Saya mahu menjadi seorang juru bank selepas tamat sekolah.	I want to be a banker after I graduate.
I want to be a banker after I graduate.	Saya mahu menjadi seorang juru bank selepas tamat sekolah.
Apakah jenis pekerjaan yang anda mahu selepas tamat sekolah?	What kind of work do you want after you graduate?
What kind of work do you want after you graduate?	Apakah jenis pekerjaan yang anda mahu selepas tamat sekolah?
undang-undang	Law
Law	undang-undang
geografi	Geography
Geography	geografi
matematik	Mathematics
Mathematics	matematik
sejarah	history
history	sejarah
sains	Science
Science	sains
psikologi	Psychology
Psychology	psikologi
belajar	to learn
to learn	belajar
ubat	Medicine
Medicine	ubat
terburuk	Worst
Worst	terburuk
khusus	Major
Major	khusus
musik	Music
Music	musik
terbaik	Best
Best	terbaik
mata pelajaran	Subject
Subject	mata pelajaran
sains komputer	Computer Science
Computer Science	sains komputer
sekolah perniagaan	Trade school
Trade school	sekolah perniagaan
agama	religion
religion	agama
bacaan	reading
reading	bacaan
seni bina	Architecture
Architecture	seni bina
perisian komputer	software
software	perisian komputer
kejuruteraan	engineering
engineering	kejuruteraan
tulisan	writing
writing	tulisan
politik	Politics
Politics	politik
kesusasteraan	literature
literature	kesusasteraan
pendidikan	education
education	pendidikan
Apakah yang ingin kamu belajar di kolej?	What do you want to study in college?
What do you want to study in college?	Apakah yang ingin kamu belajar di kolej?
Apakah yang ingin kamu belajar di sekolah perdagangan?	What do you want to study in trade school?
What do you want to study in trade school?	Apakah yang ingin kamu belajar di sekolah perdagangan?
Apakah yang akan kamu belajar di sekolah perdagangan?	What will you study in trade school?
What will you study in trade school?	Apakah yang akan kamu belajar di sekolah perdagangan?
Saya akan belajar sains komputer.	I will study computer science.
I will study computer science.	Saya akan belajar sains komputer.
Apakah yang akan kamu belajar di kolej?	What will you study in college?
What will you study in college?	Apakah yang akan kamu belajar di kolej?
Saya telah belajar mengenai agama.	I studied religion.
I studied religion.	Saya telah belajar mengenai agama.
Saya belajar tentang pendidikan di universiti selama dua tahun.	I studied education for two years at a university.
I studied education for two years at a university.	Saya belajar tentang pendidikan di universiti selama dua tahun.
Mata pelajaran apakah yang kamu suka?	What subject do you like?
What subject do you like?	Mata pelajaran apakah yang kamu suka?
Saya belajar kesusasteraan	I study literature.
I study literature.	Saya belajar kesusasteraan
Saya mengajar psikologi.	I teach psychology.
I teach psychology.	Saya mengajar psikologi.
Saya mengajar kesusasteraan.	I teach literature.
I teach literature.	Saya mengajar kesusasteraan.
Apakah yang sedang kamu belajar?	What are you studying?
What are you studying?	Apakah yang sedang kamu belajar?
Saya belajar psikologi.	I study psychology.
I study psychology.	Saya belajar psikologi.
Saya belajar tentang perubatan di universiti selama dua tahun.	I studied medicine for two years at a university.
I studied medicine for two years at a university.	Saya belajar tentang perubatan di universiti selama dua tahun.
Apakah mata pelajaran khusus anda?	What did you major in?
What did you major in?	Apakah mata pelajaran khusus anda?
Saya juga berkhusus dalam matematik.	I also majored in math.
I also majored in math.	Saya juga berkhusus dalam matematik.
Mata pelajaran terbaik saya ialah politik.	My best subject is politics.
My best subject is politics.	Mata pelajaran terbaik saya ialah politik.
Apakah mata pelajaran terbaik anda?	What is your best subject?
What is your best subject?	Apakah mata pelajaran terbaik anda?
Apakah mata pelajaran terburuk anda?	What's your worst subject?
What's your worst subject?	Apakah mata pelajaran terburuk anda?
Mata pelajaran terburuk saya ialah sains.	My worst subject is science.
My worst subject is science.	Mata pelajaran terburuk saya ialah sains.
Saya juga berkhusus dalam kejuruteraan.	I also majored in engineering.
I also majored in engineering.	Saya juga berkhusus dalam kejuruteraan.
Saya ingin belajar lebih banyak cara-cara membantu orang.	I want to learn how to help people more.
I want to learn how to help people more.	Saya ingin belajar lebih banyak cara-cara membantu orang.
Saya sedang belajar psikologi kerana saya ingin belajar lebih banyak cara-cara membantu orang.	I’m studying psychology because I want to learn how to help people more.
I’m studying psychology because I want to learn how to help people more.	Saya sedang belajar psikologi kerana saya ingin belajar lebih banyak cara-cara membantu orang.
Saya sedang mempelajari kursus perubatan.	I’m studying medicine.
I’m studying medicine.	Saya sedang mempelajari kursus perubatan.
Saya ingin belajar mengenai perniagaan.	I want to study business.
I want to study business.	Saya ingin belajar mengenai perniagaan.
Saya ingin belajar mengenai politik dengan lebih mendalam.	I want to learn more about politics.
I want to learn more about politics.	Saya ingin belajar mengenai politik dengan lebih mendalam.
Saya sedang mempelajari kursus perisian komputer.	I’m studying software.
I’m studying software.	Saya sedang mempelajari kursus perisian komputer.
Saya ingin belajar mengenai perisian komputer dengan lebih mendalam.	I want to learn more about software.
I want to learn more about software.	Saya ingin belajar mengenai perisian komputer dengan lebih mendalam.
Saya ingin belajar mengenai pendidikan.	I want to study education.
I want to study education.	Saya ingin belajar mengenai pendidikan.
jujur	honest
honest	jujur
purata	average
average	purata
mahir	skilled
skilled	mahir
tidak jujur	dishonest
dishonest	tidak jujur
perkataan	word
word	perkataan
tidak mahir	Unskilled
Unskilled	tidak mahir
tidak berminat	uninterested
uninterested	tidak berminat
benci	To hate
To hate	benci
dinaik pangkat	to get promoted
to get promoted	dinaik pangkat
berguna	Useful
Useful	berguna
berpengalaman	Experienced
Experienced	berpengalaman
kegemaran	Favorite
Favorite	kegemaran
tidak berguna	Useless
Useless	tidak berguna
tidak berpengalaman	inexperienced
inexperienced	tidak berpengalaman
dipecat	To get fired
To get fired	dipecat
berlengah-lengah	To procrastinate
To procrastinate	berlengah-lengah
pengalaman	Experience
Experience	pengalaman
resume	resume
resume	resume
paling	Most
Most	paling
paling kurang	Least
Least	paling kurang
rajin	hard working
hard working	rajin
risau	To worry
To worry	risau
malas	Lazy
Lazy	malas
Saya paling berminat dalam agama.	I’m most interested in religion.
I’m most interested in religion.	Saya paling berminat dalam agama.
Saya paling benci matematik.	I hate math the most.
I hate math the most.	Saya paling benci matematik.
Saya tidak mahir dalam musik.	I’m unskilled in music.
I’m unskilled in music.	Saya tidak mahir dalam musik.
Saya mahir dalam musik.	I’m skilled in music.
I’m skilled in music.	Saya mahir dalam musik.
Saya paling tidak berminat dalam agama.	I’m most uninterested in religion.
I’m most uninterested in religion.	Saya paling tidak berminat dalam agama.
Saya mahir dalam apa-apa.	I’m unskilled in nothing.
I’m unskilled in nothing.	Saya mahir dalam apa-apa.
Saya tidak mahir dalam apa-apa.	I’m skilled in nothing.
I’m skilled in nothing.	Saya tidak mahir dalam apa-apa.
Mata pelajaran apakah yang kamu paling berpengalaman?	What subject are you most experienced in?
What subject are you most experienced in?	Mata pelajaran apakah yang kamu paling berpengalaman?
Mata pelajaran apakah yang paling kamu minati?	What subject are you most interested in?
What subject are you most interested in?	Mata pelajaran apakah yang paling kamu minati?
Saya paling suka matematik.	I love math the most.
I love math the most.	Saya paling suka matematik.
Erica juga adalah bintang pop yang saya paling minati.	Erica is my most favorite pop star also.
Erica is my most favorite pop star also.	Erica juga adalah bintang pop yang saya paling minati.
Kamu tidak patut tidur di tempat kerja kerana kamu akan dipecat.	You shouldn’t sleep at work because you will get fired.
You shouldn’t sleep at work because you will get fired.	Kamu tidak patut tidur di tempat kerja kerana kamu akan dipecat.
Dia seorang ahli politik yang jujur.	He’s an honest politician.
He’s an honest politician.	Dia seorang ahli politik yang jujur.
Dia seorang ahli politik yang tidak jujur.	He’s a dishonest politician.
He’s a dishonest politician.	Dia seorang ahli politik yang tidak jujur.
Kamu tidak patut berlengah-lengah.	You shouldn’t procrastinate.
You shouldn’t procrastinate.	Kamu tidak patut berlengah-lengah.
Erica juga adalah bintang pop yang paling kurang diminati saya.	Erica is my least favorite pop star also.
Erica is my least favorite pop star also.	Erica juga adalah bintang pop yang paling kurang diminati saya.
Apakah maksud rajin?	What does hard working mean?
What does hard working mean?	Apakah maksud rajin?
"Apakah maksud perkataan ""resume""?"	"What does the word ""resume"" mean?"
"What does the word ""resume"" mean?"	"Apakah maksud perkataan ""resume""?"
Tidak berguna ialah kata lawan berguna.	Useless is the opposite of useful.
Useless is the opposite of useful.	Tidak berguna ialah kata lawan berguna.
Resume adalah sekeping kertas yang mengandungi sejarah dan pengalaman kerja anda.	A resume is a paper on your work history and experience.
A resume is a paper on your work history and experience.	Resume adalah sekeping kertas yang mengandungi sejarah dan pengalaman kerja anda.
Rajin bermaksud tidak malas.	Hard working means not lazy.
Hard working means not lazy.	Rajin bermaksud tidak malas.
Apakah kata lawan berguna?	What is the opposite of useful?
What is the opposite of useful?	Apakah kata lawan berguna?
Kamu akan dinaik pangkat jika kamu rajin.	If you are hard working, you will get promoted.
If you are hard working, you will get promoted.	Kamu akan dinaik pangkat jika kamu rajin.
Saya tidak risau.	I don’t worry.
I don’t worry.	Saya tidak risau.
Kamu patut bekerja dan bukannya risau.	Instead of worrying, you should work.
Instead of worrying, you should work.	Kamu patut bekerja dan bukannya risau.
Kamu akan diupah jika kamu rajin.	If you are hard working, you will get hired.
If you are hard working, you will get hired.	Kamu akan diupah jika kamu rajin.
Kamu patut berdoa dan bukannya risau.	Instead of worrying, you should pray.
Instead of worrying, you should pray.	Kamu patut berdoa dan bukannya risau.
Saya tidak berlengah-lengah.	I don’t procrastinate.
I don’t procrastinate.	Saya tidak berlengah-lengah.
temuduga	Interview
Interview	temuduga
sehari	Per day
Per day	sehari
cuti	Vacation
Vacation	cuti
sakit	Sick
Sick	sakit
melawat	To visit
To visit	melawat
selalu	Always
Always	selalu
kerap	Often
Often	kerap
kadang kala	Sometimes
Sometimes	kadang kala
seminggu	Per week
Per week	seminggu
memberus gigi	Brush teeth
Brush teeth	memberus gigi
e-mel	Email
Email	e-mel
tiket	Ticket
Ticket	tiket
menge-mel	to email
to email	menge-mel
sekali	Once
Once	sekali
mencuci baju	To do laundry
To do laundry	mencuci baju
merancang	To plan
To plan	merancang
dua kali	Twice
Twice	dua kali
jarang	Rarely
Rarely	jarang
tidak pernah	Never
Never	tidak pernah
kali	Times
Times	kali
Berapa kalikah anda memeriksa e-mel sehari?	How many times per day do you check your email?
How many times per day do you check your email?	Berapa kalikah anda memeriksa e-mel sehari?
Saya memberus gigi saya sekali seminggu.	I brush my teeth once a week.
I brush my teeth once a week.	Saya memberus gigi saya sekali seminggu.
Saya memeriksa e-mel saya tiga kali seminggu.	I check my email three times a week.
I check my email three times a week.	Saya memeriksa e-mel saya tiga kali seminggu.
Saya memberus gigi saya tiga kali seminggu.	I brush my teeth three times per week.
I brush my teeth three times per week.	Saya memberus gigi saya tiga kali seminggu.
Berapa kalikah anda memberus gigi sehari?	How many times per day do you brush your teeth?
How many times per day do you brush your teeth?	Berapa kalikah anda memberus gigi sehari?
Berapa kalikah anda makan sehari?	How many times per day do you eat?
How many times per day do you eat?	Berapa kalikah anda makan sehari?
Saya memeriksa e-mel saya sekali seminggu.	I check my email once per week.
I check my email once per week.	Saya memeriksa e-mel saya sekali seminggu.
Berapakah harganya untuk seorang?	How much is it per person?
How much is it per person?	Berapakah harganya untuk seorang?
Berapakah harganya untuk sebulan?	How much is it per month?
How much is it per month?	Berapakah harganya untuk sebulan?
Saya sering mencuci baju saya sendiri.	I often do my laundry.
I often do my laundry.	Saya sering mencuci baju saya sendiri.
Tujuh dolar seorang.	It’s seven dollars per person.
It’s seven dollars per person.	Tujuh dolar seorang.
Saya selalu mencuci baju saya sendiri.	I always do my laundry.
I always do my laundry.	Saya selalu mencuci baju saya sendiri.
Saya tidak pernah mencuci baju saya sendiri.	I never do my laundry.
I never do my laundry.	Saya tidak pernah mencuci baju saya sendiri.
Berapakah harga satu tiket?	How much is it per ticket?
How much is it per ticket?	Berapakah harga satu tiket?
Tujuh dolar satu tiket.	It’s seven dollars per ticket.
It’s seven dollars per ticket.	Tujuh dolar satu tiket.
Biasanya, saya mencuci baju saya sendiri.	I usually do my laundry.
I usually do my laundry.	Biasanya, saya mencuci baju saya sendiri.
Saya jarang mencuci baju saya sendiri.	I rarely do my laundry.
I rarely do my laundry.	Saya jarang mencuci baju saya sendiri.
Sila menghubungi saya untuk merancang temuduga kita.	Please call me to plan our interview.
Please call me to plan our interview.	Sila menghubungi saya untuk merancang temuduga kita.
Berapa kerapkah anda berjumpa dengan doktor?	How often do you visit a doctor?
How often do you visit a doctor?	Berapa kerapkah anda berjumpa dengan doktor?
Saya jarang berjumpa dengan doktor.	I rarely visit a doctor when I’m sick.
I rarely visit a doctor when I’m sick.	Saya jarang berjumpa dengan doktor.
Saya perlu pergi ke temuduga selepas memberus gigi saya.	After I brush my teeth, I have to go to an interview.
After I brush my teeth, I have to go to an interview.	Saya perlu pergi ke temuduga selepas memberus gigi saya.
Sila e-mel saya untuk merancang temuduga kita.	Please email me to plan our interview.
Please email me to plan our interview.	Sila e-mel saya untuk merancang temuduga kita.
Kadang kala saya berjumpa dengan doktor apabila saya sakit.	I sometimes visit a doctor when I’m sick.
I sometimes visit a doctor when I’m sick.	Kadang kala saya berjumpa dengan doktor apabila saya sakit.
Saya tidak pernah berjumpa dengan doktor apabila saya sakit.	I never visit a doctor when I’m sick.
I never visit a doctor when I’m sick.	Saya tidak pernah berjumpa dengan doktor apabila saya sakit.
Berapa kerapkah kamu melawat nenekmu yang berada di hospital?	How often do you visit your grandmother in the hospital?
How often do you visit your grandmother in the hospital?	Berapa kerapkah kamu melawat nenekmu yang berada di hospital?
Berapa kerapkah kamu melawat makcikmu yang berada di hospital?	How often do you visit your aunt in the hospital?
How often do you visit your aunt in the hospital?	Berapa kerapkah kamu melawat makcikmu yang berada di hospital?
Saya pergi dua kali seminggu.	I go twice a week.
I go twice a week.	Saya pergi dua kali seminggu.
Saya menelefon emak saya yang berada di India empat kali setahun.	I call my mother in India four times a year.
I call my mother in India four times a year.	Saya menelefon emak saya yang berada di India empat kali setahun.
Biasanya, saya mengguna span untuk mencuci kereta saya.	I usually use a sponge to clean my car.
I usually use a sponge to clean my car.	Biasanya, saya mengguna span untuk mencuci kereta saya.
Saya melawat pakcik saya yang berada di hospital tiga kali sebulan.	I visit my uncle in the hospital three times a month.
I visit my uncle in the hospital three times a month.	Saya melawat pakcik saya yang berada di hospital tiga kali sebulan.
Saya jarang mengguna span untuk mencuci kereta saya.	I rarely use a sponge to clean my car.
I rarely use a sponge to clean my car.	Saya jarang mengguna span untuk mencuci kereta saya.
Pada pendapat saya, Ken sangat cerdik tetapi dia malas.	I think Ken is very smart, but he’s lazy.
I think Ken is very smart, but he’s lazy.	Pada pendapat saya, Ken sangat cerdik tetapi dia malas.
Pada pendapat kamu, adakah Erica itu baik hati?	Do you think that Erica is kind?
Do you think that Erica is kind?	Pada pendapat kamu, adakah Erica itu baik hati?
Saya hendak makan makanan Itali dan pergi bersenam selepas itu.	I want to eat Italian food, and then go exercising.
I want to eat Italian food, and then go exercising.	Saya hendak makan makanan Itali dan pergi bersenam selepas itu.
Pada pendapat kamu, adakah Erica itu jahat?	Do you think that Erica is mean?
Do you think that Erica is mean?	Pada pendapat kamu, adakah Erica itu jahat?
Apa yang ingin kamu buat untuk harjadi kamu esok?	What do you want to do for your birthday tomorrow?
What do you want to do for your birthday tomorrow?	Apa yang ingin kamu buat untuk harjadi kamu esok?
Pada pendapat saya, Ken sangat baik hati tetapi dia malas.	I think Ken is very kind, but he’s lazy.
I think Ken is very kind, but he’s lazy.	Pada pendapat saya, Ken sangat baik hati tetapi dia malas.
Saya hendak makan makanan Cina dan pergi membeli-belah selepas itu.	I want to eat Chinese food, and then go shopping.
I want to eat Chinese food, and then go shopping.	Saya hendak makan makanan Cina dan pergi membeli-belah selepas itu.
Apa yang ingin kamu buat untuk harjadi kamu hari ini?	What do you want to do for your birthday today?
What do you want to do for your birthday today?	Apa yang ingin kamu buat untuk harjadi kamu hari ini?
Tetapi saya tidak dapat membayar kerana saya lupa membawa dompet saya.	But I can’t pay because I forgot my wallet.
But I can’t pay because I forgot my wallet.	Tetapi saya tidak dapat membayar kerana saya lupa membawa dompet saya.
Mari kita makan di restoran yang bagus kerana hari ini ulang tahun perkahwinan datuk dan nenek kamu.	Let’s eat at a nice restaurant because it’s your grandparents anniversary.
